node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
40 41 0 -1.8826 -8.7512 -9.8146 -1.8422 -8.8236 -10.3076 0.0512 0.5000 0.4314 0.3922 0.1961 2.2696 1.0000 
41 42 0 -1.8422 -8.8236 -10.3076 -1.8325 -8.8324 -10.3771 0.0512 0.0707 0.4314 0.3922 0.1961 2.2835 1.0000 
42 43 0 -1.8325 -8.8324 -10.3771 -1.7695 -8.8189 -10.8729 0.0512 0.5000 0.4314 0.3922 0.1961 2.3816 1.0000 
43 44 0 -1.7695 -8.8189 -10.8729 -1.7591 -8.8135 -10.9643 0.0512 0.0921 0.4314 0.3922 0.1961 2.3997 1.0000 
44 45 0 -1.7591 -8.8135 -10.9643 -1.7359 -8.8367 -11.4632 0.0512 0.5000 0.4314 0.3922 0.1961 2.4986 1.0000 
45 46 0 -1.7359 -8.8367 -11.4632 -1.7336 -8.8375 -11.4953 0.0512 0.0322 0.4314 0.3922 0.1961 2.5050 1.0000 
46 47 0 -1.7336 -8.8375 -11.4953 -1.7042 -8.8314 -11.9862 0.0512 0.4918 0.4314 0.3922 0.1961 2.6029 1.0000 
47 48 0 -1.7042 -8.8314 -11.9862 -1.7106 -8.8373 -12.4862 0.0512 0.5000 0.4314 0.3922 0.1961 2.7031 1.0000 
48 49 0 -1.7106 -8.8373 -12.4862 -1.7115 -8.8381 -12.5479 0.0512 0.0617 0.4314 0.3922 0.1961 2.7155 1.0000 
49 50 0 -1.7115 -8.8381 -12.5479 -1.7674 -8.8804 -13.0430 0.0512 0.5000 0.4314 0.3922 0.1961 2.8164 1.0000 
50 51 0 -1.7674 -8.8804 -13.0430 -1.7734 -8.8844 -13.1063 0.0512 0.0637 0.4314 0.3922 0.1961 2.8293 1.0000 
51 52 0 -1.7734 -8.8844 -13.1063 -1.7619 -8.8374 -13.6039 0.0512 0.5000 0.4314 0.3922 0.1961 2.9310 1.0000 
52 53 0 -1.7619 -8.8374 -13.6039 -1.7650 -8.8151 -13.7871 0.0512 0.1845 0.4314 0.3922 0.1961 2.9687 1.0000 
53 54 0 -1.7650 -8.8151 -13.7871 -1.7360 -8.7772 -14.2848 0.0512 0.5000 0.4314 0.3922 0.1961 3.0712 1.0000 
54 55 0 -1.7360 -8.7772 -14.2848 -1.7307 -8.7718 -14.3690 0.0512 0.0846 0.4314 0.3922 0.1961 3.0887 1.0000 
55 56 0 -1.7307 -8.7718 -14.3690 -1.6952 -8.7404 -14.8668 0.0512 0.5000 0.4314 0.3922 0.1961 3.1920 1.0000 
56 57 0 -1.6952 -8.7404 -14.8668 -1.6931 -8.7398 -14.8883 0.0512 0.0217 0.4314 0.3922 0.1961 3.1965 1.0000 
57 58 0 -1.6931 -8.7398 -14.8883 -1.6702 -8.7280 -15.3877 0.0512 0.5000 0.4314 0.3922 0.1961 3.3006 1.0000 
58 59 0 -1.6702 -8.7280 -15.3877 -1.6645 -8.7249 -15.5140 0.0512 0.1265 0.4314 0.3922 0.1961 3.3271 1.0000 
59 60 0 -1.6645 -8.7249 -15.5140 -1.6239 -8.7100 -16.0121 0.0512 0.5000 0.4314 0.3922 0.1961 3.4321 1.0000 
60 61 0 -1.6239 -8.7100 -16.0121 -1.6160 -8.7089 -16.0794 0.0512 0.0677 0.4314 0.3922 0.1961 3.4464 1.0000 
61 62 0 -1.6160 -8.7089 -16.0794 -1.6311 -8.6728 -16.5778 0.0512 0.5000 0.4314 0.3922 0.1961 3.5522 1.0000 
62 63 0 -1.6311 -8.6728 -16.5778 -1.6367 -8.6610 -16.7484 0.0512 0.1710 0.4314 0.3922 0.1961 3.5885 1.0000 
63 64 0 -1.6367 -8.6610 -16.7484 -1.6274 -8.6328 -17.2475 0.0512 0.5000 0.4314 0.3922 0.1961 3.6953 1.0000 
64 65 0 -1.6274 -8.6328 -17.2475 -1.6270 -8.6276 -17.3556 0.0512 0.1082 0.4314 0.3922 0.1961 3.7185 1.0000 
65 66 0 -1.6270 -8.6276 -17.3556 -1.6260 -8.6034 -17.8550 0.0512 0.5000 0.4314 0.3922 0.1961 3.8262 1.0000 
66 67 0 -1.6260 -8.6034 -17.8550 -1.6284 -8.5964 -17.9835 0.0512 0.1287 0.4314 0.3922 0.1961 3.8540 1.0000 
67 68 0 -1.6284 -8.5964 -17.9835 -1.7161 -8.5612 -18.4745 0.0512 0.5000 0.4314 0.3922 0.1961 3.9627 1.0000 
68 69 0 -1.7161 -8.5612 -18.4745 -1.7347 -8.5543 -18.5777 0.0512 0.1051 0.4314 0.3922 0.1961 3.9856 1.0000 
69 70 0 -1.7347 -8.5543 -18.5777 -1.8200 -8.4795 -19.0646 0.0512 0.5000 0.4314 0.3922 0.1961 4.0951 1.0000 
70 71 0 -1.8200 -8.4795 -19.0646 -1.8278 -8.4733 -19.1063 0.0512 0.0428 0.4314 0.3922 0.1961 4.1046 1.0000 
71 72 0 -1.8278 -8.4733 -19.1063 -1.9188 -8.4017 -19.5927 0.0512 0.5000 0.4314 0.3922 0.1961 4.2150 1.0000 
72 73 0 -1.9188 -8.4017 -19.5927 -1.9381 -8.3865 -19.6958 0.0512 0.1059 0.4314 0.3922 0.1961 4.2385 1.0000 
73 74 0 -1.9381 -8.3865 -19.6958 -1.9971 -8.2896 -20.1827 0.0512 0.5000 0.4314 0.3922 0.1961 4.3498 1.0000 
