J,krs
10,0.0407459562090667
15,0.0829342563560174
20,0.102351883953323
25,0.119605787227884
30,0.130209171069592
35,0.137352686910365
40,0.140403051598523
45,0.143449673744161
50,0.147957902440834
55,0.150365404625187
60,0.148298407076023
